sentence,remark
每年在孩子生日时共同商定新阶段的规则，并清晰解释理由。例如，为什么十岁的孩子需要承担洗碗的责任？因为“家庭成员共同分担家务”是融入社会的基本能力。,
孩子沉迷游戏，与其怒吼“立刻关掉”，不如和他一起制定每日游戏时间表，并约定超时的后果（如减少次日时长）。,
少用权力，多用规则。规则必须通过协商产生，让孩子感受到自己被尊重。,
好习惯不能靠逼迫，而需要设计巧妙的“脚手架”。想让孩子爱上阅读？出门时随身带一本他喜欢的书，看不看无所谓，但“书在身边”的暗示会逐渐让他习惯与文字为伴。,
好习惯不能靠逼迫，而需要设计巧妙的“脚手架”。希望孩子多吃蔬菜？不妨在饭前先端上绿色餐盘，饥饿时的本能会战胜挑食的抗拒。,
教孩子整理房间时，可以先列一张清单：“1.把玩具放进箱子；2.书本摆回书架；3.脏衣服丢进洗衣篮。”清晰的步骤能减少孩子的畏难情绪。,
对于孩子的失误，批评不如共同复盘。例如连续三天迟到，可以和孩子一起分析：“是闹钟不够响，还是晚上睡太晚？”找到根源后，再约定“提前半小时上床”。重要的是，反思要“对事不对人”——让孩子明白问题可以改进，而非否定他本身的价值。,
孩子沉迷游戏或短视频，不妨在他心情好的时候跟他沟通，问问他自己觉得一天玩多久游戏/看多久短视频合适？如果他的期望和实际结果有出入，不妨引导他自己反思原因、共同探讨解决方案。事情就变成了他要控制，而不是要他控制。,
多帮少管，供给资源。想让孩子远离垃圾动画片？不如为他挑选优质的纪录片；希望他热爱运动？可以把客厅变成迷你乒乓球室。当孩子发现“有意义的事”触手可及时，自然会减少对电子产品的依赖。,
当孩子抱怨“班主任好凶”时，不妨告诉他：“老师今天夸你值日认真哦！”同时，向老师反馈孩子在家里的进步。双向的认可如同齿轮间的润滑油，让教育机器运转得更顺畅。更重要的是，孩子会因此学会用积极的眼光看待他人，这是社交能力的重要基石。,
情绪未平，道理无效。所以，先处理心情，再处理事情。当孩子摔门而出时，任何说教都只会火上浇油。此时不妨按下暂停键，给自己和孩子冷静的时间。可以约定：“现在我们都很生气，一小时后客厅见。” 等到情绪平复，再以“我注意到你最近压力很大”开头，而非“你怎么又这样”。这种处理方式让孩子感受到被理解，而非被审判，问题反而更容易解决。,
成绩好只能说明记忆力和运算推理能力较强，成绩不好也不能否定其他方面的潜力，真正的成功需要具备多方面的能力和素质。https://mp.weixin.qq.com/s/_-qVLD_277pD9tJaNZT9fA ,
人类设计的游戏是为了迎合玩家，而现实中的挑战（上帝设计的游戏）是残酷的，不会迁就任何人，只有具备应对未知和困难的能力，才能在真正的“游戏”中胜出。https://mp.weixin.qq.com/s/_-qVLD_277pD9tJaNZT9fA ,
每天朗读五分钟，并和你身边的人分享，既能锻炼你的大脑，也能增进彼此的关系。,
家人很重要，家庭关系会随着时间变化。要多关心家人，多一起吃饭，这样感情会更好。,
有个能信任的伴侣，会让人少很多烦恼。要是关系不好，就会很痛苦。要学会理解对方，多站在对方的角度想问题。,
美好生活不是未来某个时刻才有的，而是现在每时每刻都在发生的。要学会珍惜现在的生活，享受每一刻。,
定期的家庭聚餐会让孩子拥有更高的平均成绩和更高的自尊，同时也降低了药物滥用、青少年怀孕和抑郁症的发生率。https://www.lifeweek.com.cn/h5/article/detail.do?artId=210874,
在工作中有好朋友的人比没有好朋友的人更投入。,
有时候，感情不是通过我们互相之间说了什么来传达的，而是通过共处一室的感觉来传达的。,
长期一个人，会让人身体不舒服，比如睡不好觉、脑子反应慢，甚至会增加生病的风险。,
对于老年人来说，孤独的危害程度是肥胖的两倍。https://www.lifeweek.com.cn/h5/article/detail.do?artId=210874,
认为自己是幸运的是一种积极的想法，它会促进思想和行动的良性循环。一个人如果认为自己幸运，就会更倾向于：主动抓住机会（“反正我运气好，试试也无妨”）；对失败更宽容（“这次不行，下次运气会转好”）；社交中更放松、更自信，从而更容易获得他人正面反馈。,
别人如何对待你，不是取决于你是谁，而是取决于他们认为你未来会是谁。 https://mp.weixin.qq.com/s/mpfSBKT8UnuNyd2kjorMiA,
当你有一个需求想要一个特定的人来帮你解决的时候，你就需要明白：你能为对方提供什么价值？因为这一次的帮忙，其实等于对方在向你的未来“投资”。,
《权力：为什么只为某些人所拥有》：“权力属于那些能解决组织最紧迫问题的人。如果你能控制不确定性，你就控制了权力。”,
四年前，小朋友畅畅刚入学时只会写自己的名字，拼音一点不会，是班上唯一一个零起步的孩子，现在读四年级，每次作文都是满分，一学期阅读60万字。她说她太喜欢语文了。她是怎么做到的？https://mp.weixin.qq.com/s/JacJmQ4AygZK4SZSLKaIog,
不管孩子多大，当孩子阅读还吃力时，都需要父母的陪伴。亲子阅读能帮助孩子养成阅读的习惯。,
在养成阅读习惯以前，父母和孩子一起阅读是非常必要的。可以尝试大人和小孩一人读一段，试着找出读书的乐趣。,
身教重于言传，我们做家长的，也要问问自己，在孩子眼里，自己是不是一个专注做事的人？晚饭后，大人看看书、写写字，在家里营造一个专注做事的环境。环境的力量是强大的，潜移默化中会让孩子受到影响和带动。,
孩子面前尽量不要使用手机，而是多端着一本书，哪怕是假装在看书。,
心理学家、北京大学的徐凯文教授说，这些年，他接触的大学生自杀案例越来越多。他发现，很多大学生自杀的原因，并不是想死，而是不知道为什么活着。他们觉得活着没意思、没价值，人生了无生趣。因为，他们从小到大的人生中，几乎只有学习这件事。,
缺乏专注力的孩子，他们在小时候很可能也常常被家长打扰。孩子做点什么，家长总在一旁指挥，以温柔或者强硬的姿态：你要这样做，不许那样做……,
如果孩子的行为让你想通过吼叫来喝止，不妨这么想一想：如果眼前的小孩是小时候的你，你就是你小时候的父亲/母亲，你会希望爸爸/妈妈怎么对待你呢？也许你就不会采用吼叫的方式了。,
所有恒温动物一生下来就有被抚摸的需求，如果这种需求得不到满足，就会生长迟缓，智力低下，甚至产生不正常的行为。,
抚摸能减缓人体压力激素的分泌。,
经常抚摸、拥抱孩子，会减少孩子的暴力倾向，让孩子的性格更加开朗，自信心增强，富有爱心，社会适应力强，情绪平和。,
一对80岁的夫妇，精神状态和身体状态都显得很有生机。问他们健康长寿的秘诀，这对夫妇说：虽然我们早已没有性生活，但我们会经常充满爱意地抚摸对方。,
有时候，比起单纯地做爱，丈夫充满爱意的抚摸更能让妻子得到心理上的满足。她会感到自己不是因为性才被爱的，而是因为自己本身就值得被珍视、被呵护，这会让她产生更多的幸福感。,
催的多了，孩子就对催促产生了免疫。那时，常规性的催促已经不管用了，孩子会想：嗯，大人刚开始催，看来时间还早，还可以玩一会儿。直到动用重量级的“催促+发怒”​，孩子就知道：嗯，这回来真的了，看来是到时间了。https://mp.weixin.qq.com/s/Oeem3XfByxtqVtSGtiPf3g,
培养孩子的时间观念，可以借助闹铃，提醒他用了多长时间，慢慢地，做什么事用多长时间，孩子心里多少就会有数了。https://mp.weixin.qq.com/s/Oeem3XfByxtqVtSGtiPf3g,
每次我忍不住想催孩子的时候，就会提醒自己：这些催孩子做的事情，是我的事还是孩子的事？如果是孩子的事，他不着急，我为啥要比他还着急？https://mp.weixin.qq.com/s/Oeem3XfByxtqVtSGtiPf3g ,
把本该由孩子自己负责的事情揽到自己身上，这其实是一种界限不清的表现，很多教育问题都起源于界限不清。家长越过界限，孩子自然往后退缩，最终变成了家长支配孩子，孩子丧失了自主能力，习惯了在一声声的催促中按指令行事。,
孩子玩游戏正着迷，午饭已经摆上桌，妈妈喊了好几次吃饭，孩子总说等一会儿。如果你是妈妈，你该怎么办？第一种做法：把饭倒掉，饿他一顿，下次就知道按时吃饭了。第二种做法：把饭菜端给孩子，想吃随时吃。(《好妈妈都懂的心理学》),
一位妈妈和我说，儿子7岁了，最近半年新添了一个坏毛病，总是朝她要东西：买铅笔，买尺子，买饮料……妈妈很少答应儿子的要求。有一次，孩子看中一支笔，妈妈照例坚决不答应，还批评了他一顿。孩子大哭：​“连支笔都不给我买，要你这个妈妈有什么用？！(《好妈妈都懂的心理学》),
有位妈妈，女儿上二年级，天天写作业到十一二点，为了写作业的事，天天大人吼孩子哭。直到有一天，她发现孩子对她说话变得恶狠狠的，因为一点小事，动不动就说：那我死了吧！你杀了我吧！,
小树林里铺满了落叶，橙子撒欢跑了一会儿，自己发明了一个新玩法：把很多叶子绑在一起。小孩儿蹲在地上，用黑黑的小手把叶子又细又短的叶柄系到一起。系两三片叶子还容易，再加入新的叶子难度就大了，系上又掉，掉了又系，小孩儿就和这几片叶子较上劲了，玩得很专注。(《好妈妈都懂的心理学》),
孩子玩自己的，大人在一旁边刷手机，边心不在焉地嗯啊着回应孩子，只要确保孩子在自己身边，不会发生危险就行。这种低质量的陪伴，生动地诠释了什么叫“身未动，心已远”​。(《好妈妈都懂的心理学》),
橙子有一段时间特别喜欢听评书，​《杨家将》​《薛家将》​《隋唐演义》听了个遍。暑假里，橙子在姥姥家和姥爷一起听；开学了，橙子在北京听，姥爷在老家听。两个人经常通过视频交流各自听到哪里了，交流各种听后感，一起讨论谁最厉害，谁用的兵器最棒。(《好妈妈都懂的心理学》),
橙子有一段时间特别喜欢听评书，​《杨家将》​《薛家将》​《隋唐演义》听了个遍。暑假里，橙子在姥姥家和姥爷一起听；开学了，橙子在北京听，姥爷在老家听。两个人经常通过视频交流各自听到哪里了，交流各种听后感，一起讨论谁最厉害，谁用的兵器最棒。(《好妈妈都懂的心理学》),
想赢的才会赢。（费德勒）,
驱动人持续做一件事的底层逻辑不是 “坚持”，而是 “正反馈” 和实实在在的体验感，靠意志力强迫自己做痛苦的事注定难以长久。,
大脑 “短视” 且 “好逸恶劳”，核心任务是让人活下去并尽可能获得 “奖赏”（多巴胺分泌），若持续体验 “负反馈”，会启动 “自我说服” 机制找借口让人放弃。,
1994年，Denso Wave公司的日本工程师原昌宏发明了二维码用于追踪汽车零部件。 最初在汽车工厂使用的技术如今已成为一种全球性工具，为支付、广告、票务提供支持。原昌宏的发明灵感来自围棋。,
正反馈的重要性及案例：朋友阿文从 110 公斤的胖子变成 “跑步大神”，通过买帅气装备获得仪式感、跑步时听脱口秀获得愉悦感、用 App 记录进步获得即时反馈、在朋友圈晒记录获得社交认同、因身体变好和体重下降获得结果反馈等正反馈，让跑步变成 “玩” 而非 “坚持”。https://mp.weixin.qq.com/s/ILy-eym3NwEe9nhqpJ2Xaw,
作品画出来之后，范曾便从前人的经验里悟出一个道理：“好的作品须得名人题跋”，为此他想到大文学家郭沫若，郭沫若曾经写过剧本《蔡文姬》，如果能得到郭沫若的认可和题跋，就可技压群芳。于是他带上作品怀着一颗晚辈求教的心态，托人引见拜谒郭沫若，也许是诚心所至，郭沫若接见了范曾，并在他画的《文姬归汉图》上题长诗一首。http://www.360doc.com/content/17/1129/15/8250148_708310450.shtml ,
一位父亲让8岁的女儿当英语小家教创业，11个月收入4.6万元。期间，女儿英语成绩提升，赚钱认知多元化，学会衡量开销，变得更自信，还获得更多机会。如今9岁的她继续创业，并带动同学加入。https://mp.weixin.qq.com/s/RpvbgTru9hby57Ih5dhd9Q , 
生活场景的数学启蒙。场景：厨房中，母亲让孩子数豌豆并称重：“20颗豌豆重50克，你觉得50颗多重？” 策略：将抽象数学概念转化为实物操作。 效果：5岁孩子自主掌握加减法，且对超市购物产生兴趣。,
玩具争执的和平解决。场景：3岁男孩阳阳抢夺航航的积木，航航大哭。教师蹲下平视阳阳：“你想要这块积木对吗？但航航正在用它搭城堡。” 策略：引导表达需求而非直接制止，提供替代方案：“我们可以一起搭更大的城堡吗？” 效果：冲突转化为合作，两人共同完成多层建筑。,
生命不应该在沉默中腐朽，应该在激情中燃烧。,
我从小就拥有老人与海的精神，凡是我觉得应该做的事情，一般都不会放弃，而且会持续不断的努力。(俞敏洪),
从小打篮球的孩子比正常生长能多增长5~8公分。在打篮球的过程中需要三步上篮 、投篮 、盖帽 、抢篮板球 等等，这些动作以跳跃性的全身锻炼为主，都可以充分锻炼孩子的各个身体部位，全面有效的提高身体素质，尤其促进骨骼纵向生长，让孩子长的更高。,
帕金森定律：你有多少时间工作就会消耗多少时间。一项工作，给你的时间再长，总要等到截止期快临近才急着做。,
帕金森定律：工作会自动地膨胀，占满一个人所有可用的时间。如果时间充裕，你就会放慢工作节奏或是增添其他项目以便用掉所有的时间。你应该设定自己认为的工作用时，然后再从该基础上减少10-20%。,
敏感的问题，最好由不敏感的角度切入，这也是蔡康永说话之道中的一条。,
克服拖延的两分钟法则：先做两分钟。“我只做两分钟”，让开始这件事变得毫无压力。往往一旦开始，由于惯性，就会自然而然做下去。,
拖延的根源往往是因为任务看起来太大，可以极度细化目标。把任务细化到像“打开文件”、“写标题”这样简单。,
对自己做时间承诺：写在纸上或告诉别人例如：“下午 4 点我要开始写 PPT”，最好告诉朋友或同事，增加责任感。,
每天睡前想好第二天早晨要做的第一件事，并写下来。减少早晨“我今天该做什么”的纠结时间。,
肢体姿态会反向影响心理，挺拔的姿态能迅速激活自信感。早上起床或上班前，对着镜子站直、挺胸、下巴微收、目视前方，坚持一分钟。,
每天刻意说一句积极的自我肯定。重复积极语言会重塑潜意识，缓解负面自我评价。“我有能力搞定今天的事情。”、“我值得被尊重。”,
每天完成一件小挑战，通过行动积累小成功，逐步建立“我可以”的心锚。例子：给陌生人微笑、主动和同事打招呼、打一个你原本会犹豫的电话。,
制作“自信笔记”。训练关注自身优点，形成正向心理记录。方法：每天写下至少一件自己做得不错的小事（再小也可以）。,
眼神是自信的重要外在表现，学会舒适的眼神交流。方法：练习看对方眉心（不必直盯眼睛），让自己习惯被关注。,
制定“行动优先”清单，通过行动感受掌控感，缓解拖延与自我怀疑。方法：每天列 1-2 件重要的小事，并且优先完成。,
刻意练习舒适的停顿，语速慢的人会显得更有底气，减少紧张气场。方法：讲话时适当慢 0.5 秒，不急于给出答案或回应。,
每周一次“舒适区突破”。规律性的小突破，会系统性提升心理韧性和自信心。 例子：尝试新发型、去陌生的餐厅、主动发言一次。,
每天大声说出一句肯定自己的话。,
开始一天之前，给自己一个快速达成的小胜利，给自己一个胜利仪式。比如：做十个俯卧撑、跑五分钟、朗读一段文字。,
刻意减少道歉，避免过度低姿态，培养平等感。方法：不轻易为本不需要道歉的小事说“对不起”，学会用“谢谢你的耐心”等替换。,
不要等待大量的空闲时间才开始写作。你一生中永远不会有大量的空闲时间，不要让成功依赖于不存在的事情。最高效的作家每天至少写一点。https://zhuanlan.zhihu.com/p/160267978,
站直身体，挺起胸膛：体态影响心态，好的体态能提升自信和掌控力。https://book.douban.com/review/12319417/ ,
一个人的体态、精神会影响别人对他的第一印象和评价。,
如果你垂头丧气、萎靡不振，那么你也会感到自己渺小和挫败，而他人的反应更会放大你的这种感觉。https://book.douban.com/review/12319417/,
朋友会影响你，选那些能激励你进步的人。,
设定目标时，专注于自己的成长，而非与他人竞争。到今天晚上为止，我希望自己的生活比早上有一丁点进步。,
100 天行动，用一个好习惯来代替一个坏习惯。,
晚饭时或者晚饭后，和小孩分享，最近爸爸妈妈在做什么，取得什么小成就，为什么会取得这些成就的，遇到哪些困难，准备怎么解决。,
学习一门语言最成功的方法是根本就没意识到你在学习，比如，其中之一的方式就是通过看你所学语言的影片和书籍。 ,
红薯是一种营养丰富的食物，富含钾、膳食纤维、维生素A和C等营养成分，有助于稳定血糖、维持健康血压、促进消化，并降低患癌症风险。,
每天花几分钟写下三件你感激的事情，无论大小。这些可以是“今天阳光很好”“朋友给了我一个拥抱”或“工作顺利”。感恩练习可以帮助你关注生活中的积极方面，减少对消极事物的关注。,
定期写一封感恩信给对你有帮助的人，哪怕不寄出。通过表达感激之情，你可以增强自己的积极情绪。,
每天花几分钟回忆一天中让你感到快乐或满足的时刻。这些回忆可以是与家人共度的时光、完成一项任务的成就感，或者一次愉快的交谈。,
在手机或笔记本上记录日常生活中的美好时刻，当你感到低落时，可以翻看这些记录，提醒自己生活中的美好。,
设定一些简单且可实现的小目标，比如“每天走30分钟”或“每周读一本书”。完成这些目标会给你带来成就感，增强自信心和乐观情绪。,
庆祝小胜利：每完成一个小目标，给自己一些奖励，比如吃一块喜欢的巧克力或看一部喜欢的电影。庆祝小胜利可以强化积极行为，让你更有动力去实现更大的目标。,
减少消极社交：避免与那些总是抱怨、消极的人长时间相处。如果无法完全避免，可以尽量减少与他们的接触，或者在交流中保持一定的距离。,
正念行走：在散步时，将注意力集中在脚步的移动、身体的感觉以及周围的环境上。这种练习可以帮助你放松心情，同时增强对当下的觉察。,
高温会减缓大脑活动，降低反应速度，导致注意力涣散和记忆力减退。这意味着考试表现会下降，还会影响专注力和工作效率。,
有句格言流传了几十年：“早餐吃得像国王，午餐吃得像王子，晚餐吃得像乞丐。”专家说，这是个不错的建议。,
晚上摄入较多卡路里的人罹患肥胖症、2型糖尿病、高血压和炎症的风险更高。,
当体内的褪黑素——一种提示你该睡觉的激素——在睡前一两个小时升高，就会抑制胰腺的胰岛素分泌，加劳莱特说，这会令身体调节血糖变得更加困难。如果血糖经常因为晚上大量进食而升高，那么罹患高血压、慢性炎症、肥胖和2型糖尿病的风险可能会增加。,
如果你在晚餐或更晚的时候感觉很饿，马卡雷姆建议避开加工食品，以及钠与添加糖含量较高的食品。要优先选择低热量的食物，诸如豆类、烤鱼、鸡胸肉、蔬菜、水果和全谷物，它们既能产生饱腹感，又不会让血糖飙升。,
美国心脏协会建议，每周至少进行150分钟的中等强度有氧运动（如散步）或75分钟的高强度有氧运动（如跑步或游泳），以预防心血管疾病。,
乐观的心态可以延长寿命，而且你可以通过每天的写作练习或谈话疗法来培养这种心态。,
谈话疗法是一种以言语交流为主要手段的心理治疗方法。治疗师通过倾听、提问、反馈和指导等方式，帮助患者表达内心的感受、想法和困惑，并通过专业的心理技术帮助患者理解自己的问题，找到解决问题的方法。谈话疗法的目的是帮助患者改善心理状态，增强应对生活压力的能力，提高生活质量。,
高温会使人变得更易怒和具有攻击性；研究人员观察到，气温升高时，路怒事件和暴力犯罪发生率更高。,
高温天要保护好儿童。儿童属于高风险群体，因为他们体温上升较快，且更难以散热降温。,
富含纤维的植物性食物可以支持肠道菌群的健康，这与改善食欲、减少炎症和抗癌效果有关。,
记者：你认为你是美国人还是中国人呢？李小龙：我认为呢，我是人类。我不想文绉绉地说“孔子曰”，但“天下只一家”，只是每个人都很不同而已。,
“筋长一寸，寿延十年”，经常练习体前屈能够帮助伸展筋骨、疏通经络，让身体越来越年轻态。https://mp.weixin.qq.com/s/Z3QwDacdshvwygq-UTTf_w ,
孩子不想写作业？你可以说：你今天很累我理解，但我们说好8点前写完，你自己安排好时间？,
孩子在撒泼打滚？你先别发火，半蹲下来平视他，轻声问：怎么了宝宝？我们一起想办法好不好？ 当你把“对抗”变成“连接”时，孩子的“敌意”才会慢慢消融。,
你越是抓狂，越是吼叫，孩子越是不配合；反之，你稳下来，情绪清晰，孩子才会慢慢跟你同步。,
很多家长觉得，孩子什么都懂，只是故意不配合。但科学研究却告诉我们，孩子大脑中负责计划、控制冲动、自我管理的前额叶皮层，要到25岁左右才完全发育成熟。,
肠癌是我国第二大常见癌症，多数由息肉演变而来，从息肉到癌的过程通常长达10年以上，但此过程往往无明显症状，等患者有明显不适时，肠癌往往已进展到中晚期。结肠镜检查是肠癌筛查“金标准”，也是唯一可以切除息肉的筛查方法，能提前拆除息肉这颗不定时炸弹。,
在吃饭前涂唇膏，为了避免破坏唇膏，就会小口小口吃。,
用左手吃饭，以拉长吃饭时间、细嚼慢咽。,
如果做一个合格的父母？去做你小时候需要的那个大人。,
如何给小学六年级的孩子讲零花钱的使用方法与理财知识？给他一笔钱，告诉他：​“这笔钱不能花，只能拿去投资。投资所得的收益是你的零用钱，你想买什么都可以。​”,
一般认为，中等偏上强度的运动，比如跑步、登山、羽毛球等，运动30分钟以上才能有效刺激内啡肽的分泌。,
冥想训练：进行密集的冥想训练，去反复感受那些让你尴尬的场景，通过去敏感化，能够极大提高个人的内心坚韧度。如果你是个害怕被别人白眼的人，就时常在心里去冥想那些被众人白眼的场景。,
如果你是个害怕被拒绝的人，就经常去冥想那些生活中可能出现的别人拒绝你的场景。,
“3秒触发法则”来自于泡妞界圣经《迷男方法》，指的是：如果你不太敢搭讪美女，一定要在看到美女的3秒内对她说：hi ，依靠本能的惯性去破冰，超过3秒的犹豫和迟疑都会让你最后退缩。,
曾经有科学家做过一组实验，把两组身体条件接近，但是完全没有篮球经验的人聚集起来。科学家让其中一组人每天进行半小时的冥想训练，想象自己在篮球场上打篮球，想象自己如何传球/突破/投篮；另一组人什么都不干，只是聚集起来每天呆坐半小时。一周之后，两组人进行篮球比赛，进行过篮球冥想训练的那组人的表现，要显著优于另一组。,
生命从来不是为了获得财富才有意义和价值，生命本身是为了不同的可能，它的存在才有意义和价值。,
森林里分出两条路，而我选择了少有人走的那条，不要盲目相信标准答案，生命需要独立思考， 自由，勇敢，浪漫和信仰。（《死亡诗社》）,
亚利桑那大学研究发现，96%的鞋底携带大肠菌群，27%检出大肠杆菌，这种细菌可能引发严重感染。,
研究证实，酒精是癌症第三大可预防诱因，每年致10万病例。即使少量饮酒，也会伤DNA、激素紊乱，增加患癌风险。https://jandan.net/p/119947 ,
研究发现哼唱能提升鼻腔一氧化氮浓度，具有抗真菌、抗细菌和抗病毒作用，有助于恢复呼吸畅通。一位患者通过每天哼唱一小时，四天内症状显著缓解，甚至偶发性心律不齐也有所改善。这一发现为慢性鼻窦炎的治疗提供了新的思路。https://jandan.net/p/120087 ,
英国格拉斯哥大学的研究团队分析了来自“英国生物样本库”多达42万余名中年人的日常步行速度信息，其中对超过8万名参与者进行了更精确的步速测量。发现花费更多时间进行中速或快速行走的人，心律失常的总体风险降低了高达27%。,
人生中有些东西是无法选择的，但我们可以选择如何面对。,
面子是最不值钱的东西。,
“怕”是进步的最大阻碍。,
机会是属于乐观主义者的。,
碰到烦恼时，不妨想象自己是遨游在太空的宇航员，正在俯瞰地球上的芸芸众生。这样你会发现，所谓的烦恼是多么微不足道。,
你不能等到生活不再艰难才开始快乐。快乐不是成功的奖赏，而是成功的燃料。当你在愉悦状态做事，每个动作都在蓄能。享受过程时，你会自发地精益求精。,
享受过程时，你会自发地精益求精。,
真正的坚持不需要毅力，它来自做这件事本身的快感。,
普通人每日手机使用时间达8.3小时，其中62%被切割为15秒以下的碎片时段，一次手机提示打断后，需23分钟才能恢复深度专注状态。,
人生万一不知道要做什么：那就用心留意一下自己把注意力放在哪里了。差不多就有头绪了。,
人就活一次，心态可以放松一些。,
人就活一次，岂能活成自己讨厌的样子​​？,
人就活一次，不妨活得洒脱​​，少计较得失，多享受过程。,
​​人就活一次，不妨不留遗憾​​，想见的人就去见，想走的路就去闯。,
人就活一次，岂能留下遗憾​​？想见的人就去见，想说的话早点说。,
2022 年，由于大厂工作压力大，开发者 Shawn 已与焦虑症对抗了三年。某次，在阳台晒太阳的经历让他感到治愈，之后他每天出门晒太阳，一年后焦虑症状不再出现。https://mp.weixin.qq.com/s/iagwfjGzf-pZBdgBOrczZA ,
一个人真正成熟的标志是接受自己的平凡和普通。,
一个人的一生有三次成长，一是发现自己不再是世界的中心的时候；二是发现再怎么努力也无能为力的时候；三是接受自己的平凡并去享受平凡的时候。,
一个人在穷透的时候，千万不能依靠自己。穷人要是能靠自己，早就发达了，何必等到今天。时至今日还没发达，说明自己最靠不住。成功需要依靠别人，要靠父母，靠老婆，靠老板，靠合伙人。你的出身决定了你的起点，你和谁同行，可能已决定了你的终点。,
所谓靠谱就是做事要有始有终，有反馈，最后形成一个闭环。也就是凡事有交代，件件有着落，事事有回音。,
如果没有天赋，那就一直重复，当你快到本能反应的时候，你的重复就是别人眼中的天赋。,
警惕所有和你谈理想主义的人，但要尊重那些践行自己理想的人。,
在适当的时候假装自信，其实装着装着就真的能自信起来了。（Fake  it and make it.）,
人的一切痛苦，本质上都是对自己的无能的愤怒。 --王小波,
人活在世上，就是为了忍受摧残，一直到死。想明了这一点，一切都能泰然处之。,
我时常回到童年，用一片童心来思考问题，很多烦恼的问题就变得易解。（王小波）,
人在年轻的时候，觉得到处都是人，别人的事就是你的事，到了中年以后，才觉得世界上除了家人已经一无所有了。（王小波）,
这世界上有些事就是为了让你干了以后后悔而设，所以你不管干了什么事，都不要后悔。（王小波）,
生活就是个缓慢受锤的过程，人一天天老下去，奢望也一天天消失，最后变得像挨了锤的牛一样。（王小波）,
口沫飞溅，对别人大做价值评判，层次很低。（王小波）,
上船不思岸上人，下船不提船上事，旧人无需知近况，新人不必问过往，各有各的渡口，各有各的归舟，一念执着，万般皆苦，一念放下，便是重生。（李叔同）,
愤怒之气就像一把双刃剑，不仅会伤到别人，也会刺伤自己。所以，切不可为一时的情绪宣泄而不加控制，导致事后的追悔莫及。（李叔同）,
在低迷的时期，最平实的幸福就隐藏在一餐一食里。用心感受，你会发现，这美好足以拂去心头的晦暗。,
死亡不是生命的终点，遗忘才是。真正的死亡是世界上再没有一个人记得你。,
一种东西的机会成本是为了得到这个东西所放弃的东西。,
第一口包子最香，吃到第五个就腻了。这叫做边际效用递减。,
男人为什么喜新厌旧？经济学上有个著名的戈森法则可以解释：同一享乐不断重复，其带来的满足感会不断递减；同一享乐不断重复，第一次和第二次所获得的满足感最大。,
一生中大部分的精力，应该只放在一件事情上。把这一件事情做到极致，胜过你把一万件事做得平庸。,
如果没有天赋，那就一直重复，当你快到本能反应的时候，你的重复就是别人眼中的天赋。,
做战略最忌讳的是面面俱到，一定要记住重点突破，所有的资源在一点突破，才有可能赢。,
乞丐并不会妒忌百万富翁，但是他肯定会妒忌收入更高的乞丐。,
须知人生的参差百态，乃是幸福的本源。,
一个方案是“一流的想法加三流的实施”；另外一个方案是“一流的实施，三流的想法”，哪个好？,
上当不是别人太狡猾，而是自己太贪。,
无人问津也好，技不如人也罢，你都要试着安静下来，去做你该做的事，而不是让内心的烦躁和焦虑，毁掉你本就不多的热情和定力。,
人不可能快乐地活一辈子，没有任何烦心事。怎么办呢？写下来。像伍尔夫说的那样：把对生命的感受权和话语权都留给自己。,
吃饭时应该细嚼慢咽。建议每餐前先喝点水，这样有助于消化、减少肠胃负担、提高饱腹感等。进餐时不要喝含糖饮料或碳酸饮料，否则会增加胃肠负担，吃一份含有少量脂肪的健康食物，比如鸡肉、鱼肉或者瘦肉等;建议选择一些低脂或无胆固醇的食物，比如坚果零食。,
吃完饭后可以做一些轻缓运动或散步5-10分钟以促进消化。,
吃饭前如果感觉到饿了，可以选择吃一点健康零食来缓解饥饿感。,
尽量不要在进餐时吃得太饱，否则会使身体的血糖水平提高过多，长此以往，会使身体调控血糖能力下降，体重增长，影响健康。,
长时间饱食会影响大脑功能，导致记忆力下降、反应迟钝等。饱食后食物被大量消耗，此时海马体内的神经元连接网络数量明显减少，因此记忆功能会受到影响。,
经常吃得过饱，会使胃肠道的运动不协调，蠕动功能降低，增加胃肠道肿瘤发生的风险。另外也容易引起肝脏代谢功能异常，影响肝脏对蛋白质、脂肪等营养物质的代谢及解毒能力。,
经常吃得太饱，容易导致体内的血脂、血糖和血压升高，诱发高血压、冠心病、脑卒中和血管壁粥样硬化等疾病。研究发现，进食过多会增加患心脏病的风险。,
长期饱食会降低机体的免疫力，容易出现疲劳、无力、精神萎靡、头晕、失眠等症状。而且长期饱食还会导致机体内的维生素B1含量降低，从而会引起免疫细胞功能的下降，增加人体感染病菌的概率。,
吃得太饱，会使体内的血液集中在肠胃上，使肝脏得不到足够的血液和氧气供应，引起肝脏功能受损。经常吃撑后，食物堆积在胃部中容易产生大量细菌和毒素，就容易诱发一系列疾病，例如胆囊炎、胆结石等。,
人生的意义在于寻找意义的过程。意义不是藏在终点的固定答案，而是如流动的河水，在每一次选择、每一次跌倒又站起的过程中被重新定义。,
每一次技术炒作，不仅是音浪，更是机会，会带来空前的关注、疯狂涌入的资金、以及切切实实的需求。炒作规模越大、程度越厉害，带来的机会和资金也就越大。,
每一轮大的技术风口并不完全是一哄而上的炒作，里面包含了一些真正的机会，值得关注和跟上。,
